Title(BHK),Price,location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type
3,21000000.0,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
3,12100000.0,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered
5,50000000.0,chennai,2800,14,19,Resale,Semi-Furnished,East,Main Road,5,2,2,Covered
3,8700000.0,ahmedabad,1123,1,12,Resale,Unfurnished,East,"Pool, Garden/Park, Main Road",3,2,1,Open
4,26800000.0,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,6000000.0,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered
3,23500000.0,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
3,39500000.0,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered
4,29000000.0,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
2,5450000.0,chennai,800,2,3,New Property,Unfurnished,North,Main Road,2,1,1,Covered
3,9700000.0,jaipur,1650,2,6,New Property,Semi-Furnished,West,Main Road,3,3,1,Covered
3,24000000.0,hyderabad,1830,16,26,New Property,Unfurnished,East,"Main Road, Garden/Park",3,1,2,Covered
3,6200000.0,zirakpur,1400,1,3,New Property,Semi-Furnished,North - East,Main Road,3,2,1,Covered
3,17500000.0,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
4,41500000.0,new-delhi,1900,3,4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",5,2,2,"Covered,"
4,26800000.0,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,15500000.0,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
4,17000000.0,faridabad,1975,8,12,Resale,Furnished,South -West,"Garden/Park, Main Road",4,2,1,"Covered,"
3,25000000.0,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open
1,4700000.0,navi-mumbai,400,9,25,Resale,Semi-Furnished,East,Garden/Park,1,0,1,Covered
4,15000000.0,chennai,1450,4,4,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,2,1,"Covered,"
3,15800000.0,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,"
2,6900000.0,hyderabad,956,5,5,Resale,Furnished,East,Garden/Park,2,1,1,Covered
3,4860000.0,visakhapatnam,1350,5,5,New Property,Unfurnished,West,"Garden/Park, Pool, Main Road",2,2,1,Covered
3,16299999.999999998,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,"
3,5800000.0,vadodara,1300,1,4,Resale,Semi-Furnished,East,Garden/Park,3,0,1,Covered
3,9900000.0,faridabad,1600,1,4,New Property,Semi-Furnished,North,Garden/Park,3,2,1,Covered
3,21000000.0,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
3,22000000.0,new-delhi,1600,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,"
4,32000000.0,ahmedabad,2200,3,7,New Property,Unfurnished,East,Garden/Park,4,1,3,Covered
3,16299999.999999998,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,"
3,39500000.0,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered
3,16000000.0,gurgaon,1799,11,20,Resale,Semi-Furnished,North - East,"Garden/Park, Pool",4,3,1,Covered
4,29000000.0,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
2,5450000.0,chennai,800,2,3,New Property,Unfurnished,North,Main Road,2,1,1,Covered
4,11800000.0,ahmedabad,2623,7,13,New Property,Unfurnished,East,"Main Road, Garden/Park, Pool",4,1,2,Covered
3,9550000.0,chennai,1060,8,11,New Property,Semi-Furnished,North,"Garden/Park, Pool, Main Road",3,2,1,Covered
2,4500000.0,chennai,908,2,2,Resale,Semi-Furnished,South,Garden/Park,2,2,1,Covered
4,29000000.0,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
2,8500000.0,thane,650,5,11,Resale,Semi-Furnished,East,Garden/Park,2,0,1,Open
2,2750000.0,jaipur,680,3,9,New Property,Semi-Furnished,East,"Garden/Park, Main Road",2,2,1,"Covered,"
3,9270000.0,ghaziabad,1256,7,26,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",4,2,2,"Covered,"
3,6790000.000000001,zirakpur,1200,3,4,New Property,Semi-Furnished,North - East,Garden/Park,3,2,1,"Covered,"
2,7500000.0,new-delhi,850,1,4,Resale,Semi-Furnished,East,Main Road,2,2,2,Open
3,22000000.0,new-delhi,1600,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,"
4,42500000.0,new-delhi,2250,3,4,Resale,Semi-Furnished,North,Garden/Park,4,2,2,"Covered,"
4,26800000.0,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
4,89600000.00000001,gurgaon,4583,9,30,New Property,Unfurnished,North - East,Garden/Park,5,4,2,Covered
4,28500000.0,gurgaon,1700,2,2,Resale,Semi-Furnished,East,"Garden/Park, Main Road",4,4,1,Open
2,8630000.0,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
4,20000000.0,gurgaon,1800,6,14,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",4,2,1,"Covered,"
2,3000000.0,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
3,5800000.0,vadodara,1100,2,5,Resale,Furnished,North - East,"Garden/Park, Main Road",3,2,1,Covered
4,26800000.0,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
2,6809999.999999999,hyderabad,233,2,5,New Property,Unfurnished,West,Main Road,2,2,1,Covered
3,17500000.0,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
2,3900000.0,kolkata,800,1,3,Resale,Unfurnished,South - East,"Garden/Park, Main Road",2,1,1,Covered
2,2500000.0,bhiwadi,900,2,2,Resale,Semi-Furnished,East,"Pool, Garden/Park, Main Road",2,2,1,Open
3,23100000.0,thane,1153,28,32,New Property,Unfurnished,East,"Garden/Park, Main Road",3,3,1,Covered
2,5300000.0,faridabad,1100,9,17,Resale,Unfurnished,East,Main Road,2,2,1,Open
