Title(BHK),location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type,Price
2,bhiwadi,900,2,2,Resale,Semi-Furnished,East,"Pool, Garden/Park, Main Road",2,2,1,Open,3000400.0
3,thane,1153,28,32,New Property,Unfurnished,East,"Garden/Park, Main Road",3,3,1,Covered,23162144.444444448
2,faridabad,1100,9,17,Resale,Unfurnished,East,Main Road,2,2,1,Open,5149600.0
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open,29000000.0
2,kolkata,745,1,3,Resale,Furnished,North - East,Main Road,2,1,1,Covered,4200000.0
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered,6400000.0
2,thane,760,11,18,Resale,Semi-Furnished,East,Main Road,2,0,1,Open,15090000.0
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,",21000000.0
3,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,",15600000.0
2,surat,950,6,15,Resale,Unfurnished,South -West,"Garden/Park, Pool, Main Road",2,2,2,Covered,5724633.333333332
3,surat,980,5,13,Resale,Unfurnished,East,"Garden/Park, Main Road",3,1,2,Covered,5629246.190476192
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,",17500000.0
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,",23500000.0
4,gurgaon,4583,9,30,New Property,Unfurnished,North - East,Garden/Park,5,4,2,Covered,89600000.00000001
3,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,",15600000.0
2,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered,8630000.0
3,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open,25000000.0
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open,3000000.0
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
3,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,",15700000.0
3,new-delhi,1800,1,4,Resale,Semi-Furnished,East,Garden/Park,4,4,2,Covered,41437000.0
